method,route,actual,status,durationMs,result
"GET","/api/v1/sections/{sectionId}/class-teacher","/api/v1/sections/1/class-teacher","200","17","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/class-teacher-candidates","/api/v1/sections/1/class-teacher-candidates","200","15","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/student-candidates","/api/v1/sections/1/student-candidates","200","16","PASS_SUCCESS"
"GET","/api/v1/sections/{sectionId}/students","/api/v1/sections/1/students","200","13","PASS_SUCCESS"
"GET","/api/v1/student-academic-information/{academicId}","/api/v1/student-academic-information/2","200","16","PASS_SUCCESS"
"GET","/api/v1/student-admissions","/api/v1/student-admissions","200","40","PASS_SUCCESS"
"GET","/api/v1/student-admissions/{admissionId}","/api/v1/student-admissions/1","200","16","PASS_SUCCESS"
"GET","/api/v1/student-admissions/{admissionId}/academic-details","/api/v1/student-admissions/1/academic-details","200","17","PASS_SUCCESS"
"GET","/api/v1/student-admissions/{admissionId}/fee-summary","/api/v1/student-admissions/1/fee-summary","200","13","PASS_SUCCESS"
"GET","/api/v1/student-admissions/{admissionId}/previous-education","/api/v1/student-admissions/1/previous-education","200","11","PASS_SUCCESS"
"GET","/api/v1/student-admissions/{admissionId}/status","/api/v1/student-admissions/1/status","200","28","PASS_SUCCESS"
"GET","/api/v1/student-profiles","/api/v1/student-profiles","200","19","PASS_SUCCESS"
"GET","/api/v1/student-profiles/{studentId}/preview","/api/v1/student-profiles/1/preview","200","19","PASS_SUCCESS"
"GET","/api/v1/student-promotions/detained","/api/v1/student-promotions/detained","400","6","PASS_VALIDATION"
"GET","/api/v1/student-promotions/failed","/api/v1/student-promotions/failed","400","5","PASS_VALIDATION"
"GET","/api/v1/students","/api/v1/students","200","21","PASS_SUCCESS"
"GET","/api/v1/students/search","/api/v1/students/search","400","11","PASS_VALIDATION"
"GET","/api/v1/students/{studentId}","/api/v1/students/1","200","19","PASS_SUCCESS"
"GET","/api/v1/students/{studentId}/documents","/api/v1/students/1/documents","200","12","PASS_SUCCESS"
"GET","/api/v1/students/{studentId}/documents/{documentId}","/api/v1/students/1/documents/101","200","12","PASS_SUCCESS"
"GET","/api/v1/students/{studentId}/documents/{documentId}/download","/api/v1/students/1/documents/101/download","404","6","PASS_NOT_FOUND_BRANCH"
"GET","/api/v1/students/{studentId}/profile/exam-results","/api/v1/students/1/profile/exam-results","200","18","PASS_SUCCESS"
"GET","/api/v1/students/{studentId}/profile/personal-information","/api/v1/students/1/profile/personal-information","200","15","PASS_SUCCESS"
"GET","/api/v1/subject-assignments","/api/v1/subject-assignments","200","25","PASS_SUCCESS"
"GET","/api/v1/subject-assignments/{id}","/api/v1/subject-assignments/1","200","15","PASS_SUCCESS"
"GET","/api/v1/super-admin/college-mappings","/api/v1/super-admin/college-mappings","200","22","PASS_SUCCESS"
"GET","/api/v1/super-admin/college-mappings/user/{userId}","/api/v1/super-admin/college-mappings/user/1","200","17","PASS_SUCCESS"
"PUT","/api/Admissions/{id}/approve","/api/Admissions/999999/approve","404","34","PASS_NOT_FOUND_BRANCH"
"PUT","/api/Admissions/{id}/reject","/api/Admissions/999999/reject","404","15","PASS_NOT_FOUND_BRANCH"
"POST","/api/College/logo","/api/College/logo","400","14","PASS_VALIDATION"
"POST","/api/UserRoleMapping","/api/UserRoleMapping","400","18","PASS_VALIDATION"
"PUT","/api/UserRoleMapping/{id}","/api/UserRoleMapping/999999","400","18","PASS_VALIDATION"
"DELETE","/api/UserRoleMapping/{id}","/api/UserRoleMapping/999999","400","12","PASS_VALIDATION"
"POST","/api/academic-levels","/api/academic-levels","400","7","PASS_VALIDATION"
"PUT","/api/academic-levels/{id}","/api/academic-levels/999999","400","10","PASS_VALIDATION"
"DELETE","/api/academic-levels/{id}","/api/academic-levels/999999","404","12","PASS_NOT_FOUND_BRANCH"
"PUT","/api/admissions/{admissionId}/status","/api/admissions/999999/status","400","12","PASS_VALIDATION"
"POST","/api/college-settings","/api/college-settings","409","15","PASS_CONFLICT_BRANCH"
"PUT","/api/college-settings/{id}","/api/college-settings/999999","404","13","PASS_NOT_FOUND_BRANCH"
"POST","/api/otp/generate","/api/otp/generate","400","13","PASS_VALIDATION"
"POST","/api/otp/resend","/api/otp/resend","400","12","PASS_VALIDATION"
"POST","/api/otp/reset-password","/api/otp/reset-password","400","12","PASS_VALIDATION"
"POST","/api/otp/verify","/api/otp/verify","400","12","PASS_VALIDATION"
"PUT","/api/profile/{studentId}","/api/profile/999999","400","25","PASS_VALIDATION"
"POST","/api/roles","/api/roles","409","14","PASS_CONFLICT_BRANCH"
"PUT","/api/roles/{id}","/api/roles/999999","409","12","PASS_CONFLICT_BRANCH"
"DELETE","/api/roles/{id}","/api/roles/999999","404","12","PASS_NOT_FOUND_BRANCH"
"POST","/api/semester","/api/semester","400","29","PASS_VALIDATION"
"PUT","/api/semester/{semesterId}","/api/semester/999999","404","16","PASS_NOT_FOUND_BRANCH"
"PUT","/api/student-parents/{studentId}","/api/student-parents/999999","404","12","PASS_NOT_FOUND_BRANCH"
"POST","/api/v1/academic-years","/api/v1/academic-years","400","11","PASS_VALIDATION"
"POST","/api/v1/academic-years/generate-next-year","/api/v1/academic-years/generate-next-year","200","62","PASS_SUCCESS"
"PUT","/api/v1/academic-years/{id}","/api/v1/academic-years/999999","400","12","PASS_VALIDATION"
"PATCH","/api/v1/academic-years/{id}/activate","/api/v1/academic-years/999999/activate","404","15","PASS_NOT_FOUND_BRANCH"
"PATCH","/api/v1/academic-years/{id}/archive","/api/v1/academic-years/999999/archive","404","11","PASS_NOT_FOUND_BRANCH"
"PATCH","/api/v1/academic-years/{id}/deactivate","/api/v1/academic-years/999999/deactivate","404","11","PASS_NOT_FOUND_BRANCH"
"POST","/api/v1/access-requests","/api/v1/access-requests","409","62","PASS_CONFLICT_BRANCH"
"POST","/api/v1/access-requests/{requestId}/approve","/api/v1/access-requests/1/approve","400","23","PASS_VALIDATION"
